time,area_explored,path_length
0.0,0.072625,0.0
3.048528486168655,0.117425,3.048528486168655
6.179898931462208,0.160675,6.179898931462208
9.245583537608653,0.2065,9.245583537608653
12.228427417634078,0.23445,12.228427417634078
15.232589911059915,0.264925,15.232589911059915
18.281118199727405,0.305,18.281118199727405
21.41248864502498,0.34225,21.41248864502498
23.550966448797258,0.362775,23.550966448797258
26.59949468208716,0.4004,26.59949468208716
29.582337692730984,0.433825,29.582337692730984
32.32081536621695,0.470875,32.32081536621695
35.36934351521202,0.517275,35.36934351521202
38.435029075031174,0.549375,38.435029075031174
41.49777021419797,0.593725,41.49777021419797
44.61198382425759,0.61975,44.61198382425759
47.594826637389,0.636,47.594826637389
51.009040284056766,0.6648,51.009040284056766
54.17178219723306,0.672425,54.17178219723306
62.99137737731685,0.689825,62.99137737731685
65.99137737731685,0.703775,65.99137737731685
73.23401840162981,0.732275,73.23401840162981
76.32396800703052,0.749225,76.32396800703052
79.32396800703052,0.7884,79.32396800703052
82.38670914621419,0.82445,82.38670914621419
85.45239403168698,0.8497,85.45239403168698
88.45239403168698,0.874375,88.45239403168698
92.27371390521756,0.892825,92.27371390521756
97.19503646257849,0.89445,97.19503646257849
109.15483400620566,0.901625,109.15483400620566
129.68103136989865,0.93315,129.68103136989865
132.8295601796906,0.957025,132.8295601796906
135.72956027505802,0.9804,135.72956027505802
140.09524655782297,0.9915,140.09524655782297
