time,area_explored,path_length
0.0,0.072625,0.0
3.138477614738637,0.117075,3.138477614738637
6.804163416366352,0.15425,6.804163416366352
9.73259044574511,0.1997,9.73259044574511
18.855130490119002,0.244675,18.855130490119002
23.249243174698012,0.2748,23.249243174698012
30.101934007848158,0.299175,30.101934007848158
37.81736583373361,0.3296,37.81736583373361
47.69432192148561,0.354825,47.69432192148561
50.73990609773714,0.385025,50.73990609773714
61.01808096661275,0.4175,61.01808096661275
69.42051970740579,0.4636,69.42051970740579
82.59036824087872,0.49335,82.59036824087872
95.42123432177937,0.516975,95.42123432177937
98.48692013448074,0.5475,98.48692013448074
113.22956129844623,0.588525,113.22956129844623
116.38519646366449,0.6225,116.38519646366449
126.90357416783606,0.6466,126.90357416783606
139.84205258979742,0.68075,139.84205258979742
145.96631606317277,0.723475,145.96631606317277
155.60895799686713,0.755325,155.60895799686713
168.37586340393364,0.797525,168.37586340393364
185.6155609034213,0.818325,185.6155609034213
206.39201080556154,0.85355,206.39201080556154
210.59617347435102,0.861125,210.59617347435102
216.3973927059901,0.87935,216.3973927059901
232.44003453753382,0.910525,232.44003453753382
249.829480046815,0.930025,249.829480046815
266.84369407495177,0.9395,266.84369407495177
283.8407495266274,0.9592,283.8407495266274
298.84075024188314,0.9833,298.84075024188314
303.4478573568603,0.99255,303.4478573568603
307.93780590644093,0.995625,307.93780590644093
