time,area_explored,path_length
0.0,0.072625,0.0
3.0284269340113275,0.1168,3.0284269340113275
6.142640782493149,0.159225,6.142640782493149
9.256854392556392,0.197975,9.256854392556392
12.322539615201762,0.239125,12.322539615201762
15.426702379355255,0.28605,15.426702379355255
18.35512865259784,0.325,18.35512865259784
21.47939313749073,0.3589,21.47939313749073
24.59360746280971,0.39835,24.59360746280971
27.724977908103263,0.443025,27.724977908103263
32.004877779703975,0.4641,32.004877779703975
35.004877779703975,0.49485,35.004877779703975
44.46173289431778,0.508025,44.46173289431778
50.925694742429386,0.5289,50.925694742429386
63.00559430147684,0.5568,63.00559430147684
66.07127943982763,0.597075,66.07127943982763
80.08965600849318,0.60365,80.08965600849318
93.88498813883508,0.624625,93.88498813883508
97.02640936020248,0.66165,97.02640936020248
106.04894986602227,0.67795,106.04894986602227
130.34915907653348,0.69375,130.34915907653348
136.4432708960787,0.72905,136.4432708960787
138.80895704165917,0.748825,138.80895704165917
141.8574858071574,0.782325,141.8574858071574
144.79890741677207,0.81625,144.79890741677207
147.78175034312238,0.85355,147.78175034312238
150.7231716973782,0.89535,150.7231716973782
153.7788073529839,0.917125,153.7788073529839
158.55870604941592,0.923475,158.55870604941592
167.90134664118708,0.945025,167.90134664118708
170.94987439515873,0.971825,170.94987439515873
176.86825098563648,0.97685,176.86825098563648
185.56825127173877,0.9882,185.56825127173877
189.851094557411,0.998225,189.851094557411
