time,area_explored,path_length
0.0,0.072625,0.0
3.0284269340113275,0.116825,3.0284269340113275
6.142640782493149,0.1592,6.142640782493149
9.256854392556392,0.197975,9.256854392556392
12.371068325329574,0.221075,12.371068325329574
15.419596698280035,0.2579,15.419596698280035
20.08944548462313,0.277325,20.08944548462313
23.03086689672539,0.30265,23.03086689672539
26.969344652806114,0.313975,26.969344652806114
32.369344867382836,0.343175,32.369344867382836
35.507822453183785,0.37915,35.507822453183785
38.494827733291125,0.42255,38.494827733291125
41.481833153061636,0.4622,41.481833153061636
44.637468934775,0.505375,44.637468934775
47.70021078921763,0.535525,47.70021078921763
50.74873871178521,0.558725,50.74873871178521
54.36000793136799,0.5639,54.36000793136799
59.401430146408686,0.568725,59.401430146408686
69.30975663517196,0.6065,69.30975663517196
72.4582848284656,0.651425,72.4582848284656
75.27960430697135,0.679425,75.27960430697135
78.27960430697135,0.716075,78.27960430697135
81.67666079572128,0.742575,81.67666079572128
86.8636660247505,0.752575,86.8636660247505
90.07787882418414,0.7793,90.07787882418414
93.19919916775343,0.822425,93.19919916775343
96.24772678206331,0.86865,96.24772678206331
99.37909756453125,0.901125,99.37909756453125
102.51757474334613,0.933575,102.51757474334613
104.73178933443675,0.950675,104.73178933443675
109.31463300587545,0.959275,109.31463300587545
117.4874249798829,0.97385,117.4874249798829
120.6359538475245,0.987625,120.6359538475245
125.20579931910987,0.990675,125.20579931910987
137.4869204138075,0.995225,137.4869204138075
151.4952461328978,0.997775,151.4952461328978
