episode,path_length
1,192.56622915516994
2,134.91584907091394
3,128.44843701632627
4,137.00824016062217
5,133.2124012073079
6,126.5579914825132
7,133.5621537111386
8,124.79158737527708
9,122.67737776439515
10,132.5089542873551
11,145.95819974110623
12,142.2266161181837
13,135.02245788420083
14,125.99940727773429
15,151.9378883397784
16,143.86925778811548
17,133.64132955475856
18,147.44154470230444
19,117.46488467891734
20,128.59647156066896
21,138.84032932264117
22,133.9496576647995
23,134.0401156983279
24,129.0342299218484
25,140.23443976709964
26,143.52660827576452
27,142.3994131126855
28,132.01585119757578
29,150.24428223202779
30,147.4259017486694
31,121.64011695766507
32,139.61534247336863
33,140.39108082576536
34,137.79108852659232
35,146.18640922173964
36,143.68570477023468
37,127.34083669819086
38,154.84915785010432
39,124.45555572079381
40,134.0449951567242
41,125.85727626766834
42,127.81240421241006
43,133.61534939422233
44,140.3574859983018
45,162.70672630820016
46,123.8999139582796
47,136.81900204485305
48,152.72661910309122
49,126.41118507817673
50,150.80063231115804
51,126.71412881070952
52,125.12173673335575
53,130.99646536069383
54,128.66976681071307
55,124.64428237632524
56,152.59768375049103
57,137.64621651406748
58,134.31291351321403
59,157.59352379830955
60,130.66021362155968
61,143.1212389519253
62,144.2633702370608
63,146.86509886428505
64,138.74011850603515
65,123.77443154730537
66,129.29991410956418
67,141.87615804272767
68,137.15972060742445
69,144.39768315646324
70,140.05210305640375
71,128.73301093336988
72,146.9094571880508
73,147.46803383512707
74,112.46072202776008
75,140.51119010470103
76,157.43393526210934
77,151.08398106174627
78,130.2332274203301
79,164.94987601825423
80,135.45555419374406
81,141.0621539391588
82,125.97564952159568
83,140.1999114827894
84,149.97291586093849
85,146.9129089876613
86,120.71513903227536
87,117.52245778685335
88,148.92833610731577
89,135.95016352679613
90,130.4981944681211
91,137.06387920349192
92,163.0231702765048
93,135.7124048003952
94,150.1881401105463
95,142.8898698166231
96,133.19230485723241
97,133.46803775353615
98,130.86214888907153
99,134.2898669725191
100,131.89991193930746
