episode,path_length
1,112.55067492872024
2,111.12762879007548
3,113.66783020353782
4,114.42224613175951
5,111.01929990781755
6,122.10752814280823
7,113.06072473456292
8,103.10509143760855
9,103.5364594307122
10,115.0518869437341
11,108.02640538170746
12,105.93574611452102
13,115.95899859028793
14,123.54255538785029
15,120.88692182963142
16,106.75189538933967
17,130.23250843715508
18,118.34011395049023
19,114.32418119424354
20,117.47027142635275
21,104.15534237211632
22,117.41757650547926
23,117.65311441367416
24,124.2165707735294
25,102.26833308719019
26,120.7116968728697
27,127.93595484529817
28,118.88154362908307
29,103.4862088929685
30,113.11169430466364
31,108.56904635707019
32,111.94061989646558
33,107.41392214986517
34,115.36610299301819
35,118.58498754407472
36,104.33523985911421
37,114.3045899798859
38,105.05899626984903
39,113.4790992201517
40,112.88742783595632
41,119.46265787225707
42,121.02245558126053
43,118.43422954032982
44,105.12396809903933
45,120.12885206469164
46,107.34061948607979
47,108.40041397703477
48,120.67666280799571
49,103.4582805033569
50,128.52072708803124
51,111.80163816524711
52,108.33351571146423
53,107.55361807002468
54,160.6479351077311
55,113.68498355450589
56,117.63473929242937
57,107.90092674827208
58,112.6673259838634
59,99.38082160878503
60,113.9004193908386
61,99.79381514295062
62,131.23078063605615
63,105.88620413327902
64,124.43545103407502
65,125.09159181754619
66,109.80041803277551
67,117.09209459239307
68,110.59747741227324
69,112.51635763753795
70,99.13646286106184
71,109.7276292289711
72,106.32762774052443
73,126.67392372955037
74,102.14945495272327
75,104.3317905867898
76,107.5021460563763
77,127.80945800265698
78,120.20458263083758
79,101.508035568434
80,109.01635960270843
81,120.49869722242083
82,110.93818117097453
83,118.82590156491811
84,103.02224048094533
85,113.55432700203711
86,113.65483523426589
87,114.37787924971776
88,117.51047284178135
89,122.13717036147662
90,109.77198401806191
91,110.6205213748972
92,108.15605599345373
93,109.78082506291366
94,111.39453334323306
95,112.00995977697609
96,112.44184147821278
97,113.66194421370749
98,109.1690469624861
99,106.48498714994673
100,105.12173758092494
