episode,path_length
1,327.42013584504934
2,349.6364994267599
3,302.2311153822796
4,311.7352765984092
5,283.26715861615884
6,293.18238338492836
7,274.7307018894969
8,262.6277526038223
9,361.3301063720928
10,336.27548119657075
11,326.54330590942624
12,287.19263507657985
13,287.6338612912248
14,355.0122398657079
15,370.28473588495496
16,254.50572534452849
17,228.3618608785277
18,294.83995043055165
19,308.51740759926577
20,273.0075586499588
21,379.2107184738825
22,321.11080528396946
23,351.75609964148833
24,362.57194548041366
25,247.45517047801178
26,305.0093858523004
27,361.83842790815663
28,346.24553926651936
29,308.45416828257476
30,338.8364973227323
31,344.4671577593677
32,354.0384399557574
33,313.6872530653159
34,347.3824997889786
35,331.1406621862355
36,299.3662320243094
37,273.0799522207969
38,318.29070995789726
39,351.55295008073904
40,307.81862918889396
41,341.97863249474267
42,311.77253957520765
43,306.88136610558615
44,360.7058508763982
45,274.4745458795399
46,300.02329783819914
47,383.700674046073
48,330.0335510541803
49,297.70900278786735
50,330.65710427477217
51,312.6661412655015
52,221.01282781460765
53,273.45638767326716
54,275.8451242117478
55,321.82694782579256
56,301.09882265939063
57,312.4823830429408
58,345.96298832467625
59,291.2047100474135
60,289.04339393916126
61,289.76176909498474
62,320.33477461267324
63,332.1857315691125
64,261.48998770606414
65,286.188983148426
66,244.63435540802993
67,330.26147992206785
68,331.1796484979176
69,293.07720393324126
70,310.8205625858121
71,375.5318301391252
72,309.6293904329523
73,310.94411397616517
74,342.44613020739024
75,275.9711076721486
76,340.7325520213318
77,355.46542681387524
78,311.2205615890727
79,292.83629333479246
80,302.03263732114516
81,250.71749702130228
82,296.89436832388094
83,333.32421414307913
84,301.87548786951373
85,239.87017972099858
86,248.54958333079068
87,314.7229976804967
88,360.1173264710267
89,339.22615476911693
90,302.69436533281925
91,369.8776265688062
92,352.89580041404025
93,308.7843112900057
94,318.00878648826904
95,269.0161862195216
96,306.5879746230199
97,314.41517552528256
98,318.0215765081063
99,230.21060037200886
100,306.16644235154257
