episode,path_length
1,133.39575339089072
2,130.07392614206844
3,122.85066815238298
4,159.40601287631196
5,133.00823760381715
6,154.0094570560321
7,113.55950360925442
8,145.19869505192307
9,132.93007103149128
10,128.29697299681075
11,143.80752390977597
12,117.6489477668311
13,119.10753091889706
14,126.9709839683755
15,139.22539685198052
16,126.45605217957737
17,114.68620561345239
18,134.4170727004553
19,122.37026634735521
20,104.70336542729586
21,157.22834236675
22,136.47788129679304
23,115.3241843357466
24,120.230064292657
25,135.04083182666466
26,120.26143322776477
27,128.53666902339336
28,131.75971318709537
29,109.16783080253524
30,138.96682092292932
31,134.6952440566183
32,118.67493406856936
33,142.09890041055863
34,117.74600396734573
35,121.45777699557095
36,120.27098450478451
37,129.60357579440193
38,126.23545089507046
39,140.1905799630235
40,117.95727931811312
41,114.85483470216893
42,128.79402694235807
43,133.51361954036182
44,128.49209151622858
45,116.2317891949509
46,128.84772778255135
47,117.89747415373144
48,133.50357491204431
49,130.91362273069956
50,125.90996489975089
51,117.0288466185898
52,134.74011804492963
53,138.56387683102065
54,126.78153448587557
55,117.80630564827473
56,109.1560532750251
57,143.52296455652774
58,139.12245662415964
59,105.33351422500357
60,126.41341309322836
61,133.55555099397
62,122.11118676780217
63,115.04428499741309
64,122.13595096211975
65,115.93057506639707
66,137.07220142953625
67,124.47371619671378
68,136.6579892383314
69,102.54234535399702
70,124.36732108378533
71,130.46732409948564
72,117.24478366120185
73,152.2602178865112
74,130.44651058257938
75,137.8602178681545
76,130.66732023868335
77,123.2631596284083
78,125.18275483888748
79,162.62215806443805
80,133.87736975625887
81,135.34010984187296
82,134.64793477624852
83,114.83057369763864
84,135.29869439774268
85,130.0905802918362
86,133.28153482322045
87,124.78742711804627
88,110.99869745436568
89,126.07981510038627
90,144.92661412528346
91,131.4136235691541
92,133.87687068796342
93,126.21046623402974
94,122.34183873110317
95,125.33716683374942
96,125.331283953653
97,129.9266198722318
98,134.89696956979085
99,129.1862017669922
100,125.760215555452
