episode,path_length
1,165.20479616329618
2,145.9942371678455
3,128.00285406943408
4,120.31118955248569
5,134.90184987016139
6,129.87687166354354
7,126.76681958229402
8,116.43006241727441
9,149.2060166001398
10,140.24083463580484
11,128.337677770072
12,123.15210422462424
13,118.96853903645159
14,108.5151418396868
15,128.5536169780119
16,126.41828890050596
17,137.58936047281614
18,126.39574627781077
19,138.69818853632856
20,134.3165633777018
21,166.9386009765086
22,111.33767469751432
23,141.41169159360794
24,131.6354489668826
25,139.41951835715503
26,123.85382904967211
27,159.39890194839617
28,129.15311289467363
29,136.76509554667163
30,127.05210312880902
31,130.4378858606264
32,135.65504530347977
33,134.82539666341336
34,133.12347307105728
35,122.36093131678861
36,153.00824060006
37,116.48519720944338
38,128.18346928121966
39,127.98814091791515
40,131.95138693721523
41,142.23545168062574
42,130.28032099650957
43,139.92783505739
44,119.59280274509459
45,130.6626553576291
46,122.7513875392462
47,129.13006407453787
48,124.96559760394382
49,140.65970774900916
50,131.20458519739202
51,147.2437746993176
52,133.03250463896947
53,139.91240266402252
54,141.7756473968251
55,138.16337526241773
56,130.85381717783952
57,166.9574825337503
58,129.22712140001698
59,124.37981169497952
60,127.73372176183825
61,134.21362435126105
62,134.79941111505832
63,150.14204668642708
64,128.212400132146
65,136.34966751106407
66,137.93250480525447
67,135.0793074215663
68,131.95920668175623
69,141.32173603481928
70,127.41636223585398
71,113.47737848249903
72,129.74966355501343
73,140.79818885614688
74,112.03178464035506
75,131.18032362082548
76,130.0874259651269
77,171.24641814653808
78,129.61534405246712
79,140.2207264759449
80,110.16021288406439
81,139.76092833506576
82,130.03667055764618
83,120.25727500052398
84,122.29108501995262
85,152.5839793797091
86,116.05727288594088
87,112.13179008645898
88,131.1460015533655
89,131.36976511159455
90,120.6388989898896
91,118.25727440500576
92,127.79524249582784
93,132.54033030561152
94,113.55361714136362
95,125.4685443764721
96,140.64083020781885
97,136.11290879775487
98,128.8396064254125
99,121.52174494911532
100,140.34377261697136
