episode,path_length
1,258.31639233531706
2,344.61394815547874
3,329.8862525839357
4,292.12380330663
5,305.4548775426832
6,267.4436990609061
7,275.43802158312843
8,313.55710944447134
9,393.32098802031567
10,316.8056347995642
11,364.10736676098475
12,254.8554687020307
13,291.938729772587
14,303.4037056838351
15,314.15710874289186
16,287.151010145389
17,359.9647201568008
18,335.62097778218407
19,339.69974607631997
20,287.33019216851653
21,263.25150917942415
22,331.86004787038496
23,271.26866648381457
24,332.2597551735061
25,263.0235881217444
26,322.6041187256247
27,286.2380091686198
28,307.5399447428336
29,375.0161062388044
30,299.7884800444169
31,201.35252219664116
32,255.98754748519414
33,313.52543433144865
34,333.76392856909996
35,336.0445342063197
36,326.10542788555034
37,262.07994518502596
38,299.279140694738
39,339.51660738403996
40,318.346338898465
41,307.41467409412684
42,267.69882178698754
43,324.5820810916051
44,278.6517230898789
45,292.21517333567454
46,318.56543510947046
47,394.60067003389935
48,392.3190532792852
49,336.0644268288987
50,413.81022425721187
51,305.79975207783707
52,266.1081598467556
53,251.30693854899891
54,354.6632102774708
55,322.8563029297724
56,249.5213649226373
57,329.06442756264147
58,335.0647193764814
59,354.75802420072375
60,253.40765449518648
61,293.0708121856384
62,297.39172194346463
63,236.78073724255984
64,271.3728365122257
65,258.9358653209312
66,274.09882609463966
67,248.8892851092283
68,261.03486378716013
69,236.05100802056063
70,381.3653486513742
71,301.11252513850155
72,312.2671499129887
73,308.82522280418834
74,290.5558846093865
75,275.76055554010685
76,316.3158943787066
77,231.47728718491993
78,321.0708110041254
79,327.3805650184414
80,324.54849041461034
81,375.4563117053977
82,286.0071468072535
83,386.106764093733
84,260.5534532560243
85,265.63069247752554
86,358.9148857342922
87,337.0448209384279
88,342.9384330202766
89,321.3742614714703
90,295.4848143863479
91,295.4230870507167
92,271.4397383617644
93,339.4480693863996
94,296.73386007216345
95,330.4629926142506
96,309.8782168236661
97,321.9720351757254
98,375.0989434805701
99,298.1664366217328
100,248.73486201259942
