episode,path_length
1,214.57800898108638
2,252.58969286105062
3,210.83587627596995
4,233.30937680659667
5,211.87505784125807
6,227.12674393483294
7,290.98401360514544
8,161.426821937285
9,233.81820635595764
10,240.34999677557164
11,245.84734800132244
12,225.50105751497455
13,223.3554642542321
14,215.79810427558226
15,226.29121466745318
16,205.66357893158454
17,248.6835950489111
18,246.11374862472917
19,190.0454179476773
20,215.806222054823
21,186.3299838342118
22,168.06236682585276
23,196.11332449243037
24,194.30450050075842
25,226.48855850235384
26,253.62624594107035
27,214.3064281105228
28,234.08876851762068
29,211.2483587266928
30,227.2400308596077
31,238.14490871503915
32,231.51403972402326
33,205.86967730262649
34,245.97355354801965
35,213.68561787754714
36,198.65373392420665
37,223.72653363977153
38,218.50765161289303
39,234.33292043785352
40,251.16796127541352
41,229.7522197479107
42,189.96774840653003
43,209.4510097835292
44,223.22308360151285
45,192.23881280457468
46,289.1708134117194
47,198.6618653089447
48,241.1767845376613
49,230.46227933035493
50,209.4520178432352
51,202.98511297469014
52,167.20600748784767
53,241.88998686592393
54,177.40256596845092
55,218.30004305602725
56,217.7490719961579
57,220.7218719592289
58,243.05324376263525
59,198.47434855633176
60,177.05302306059525
61,225.66867369065642
62,256.1130298249287
63,215.13242311947192
64,273.9818722820586
65,218.02511062551434
66,190.58217519334073
67,245.99171548761515
68,235.0904884373235
69,208.33830257734957
70,238.71546616034811
71,240.2495866265598
72,188.90844952019216
73,237.358627293569
74,194.667748893207
75,221.12308397415535
76,253.69932877854797
77,232.56917215423258
78,256.71791649614187
79,234.3100923594634
80,228.90421103303294
81,222.50399603909275
82,229.85202691321936
83,196.85719068314518
84,291.3896964994495
85,186.9233766758828
86,194.80277783798113
87,176.73759338739058
88,232.44267601217354
89,298.1548701117525
90,218.72379519794748
91,247.62135854843393
92,211.6856105641849
93,198.96257266747662
94,213.1973963392321
95,211.33069873080234
96,215.17435126203932
97,212.73069033125742
98,215.2034885284492
99,213.28074001304057
100,225.1189208929013
