episode,path_length
1,142.10113524609758
2,173.05870361332757
3,147.89007529769202
4,143.3040743483723
5,113.34549627367569
6,154.46114358713112
7,187.48267759738567
8,182.8706883215752
9,181.12246255897614
10,152.9959585743883
11,152.9001221603597
12,169.79494962980468
13,160.86408362747537
14,141.45555569306066
15,135.68103169245717
16,134.8592073106229
17,165.80551093021393
18,161.8645936499527
19,136.66997248454726
20,165.08468565522756
21,181.70987478993473
22,142.6396116558384
23,155.5422647532051
24,140.90356808895405
25,162.50479712750808
26,133.38814253398687
27,171.21281977816335
28,159.41190380896097
29,153.19595374209337
30,138.85433350193904
31,164.30844445306477
32,163.3143384791336
33,145.63443945296382
34,227.24024541757043
35,169.26215324962143
36,152.40062909252876
37,168.554033298245
38,128.112400475206
39,176.27951650285232
40,162.85454254342267
41,156.44204859761192
42,134.08762886385912
43,148.92194651701442
44,199.94470176410175
45,158.79718483087686
46,169.68296332595352
47,160.77240805673654
48,220.48317705780332
49,141.63738634447162
50,158.90357674416936
51,184.54815067267606
52,182.22926664591523
53,155.3574780608107
54,151.28275982180034
55,155.69423524101157
56,146.3177830869374
57,152.02905440429743
58,178.73932194315677
59,152.99524980100097
60,148.61118738005496
61,144.5484485607381
62,152.3523103075467
63,160.64256098469573
64,139.84205343421223
65,149.94794077104862
66,135.54672068143674
67,146.49667696941603
68,137.63616888534298
69,128.66976540359744
70,138.4940334007294
71,147.88104262951472
72,153.85159778886114
73,150.25748037281218
74,151.9611408583012
75,147.2876337053136
76,147.2846932100158
77,202.26601905826172
78,146.08468952526727
79,164.5160658134049
80,170.9280478520451
81,157.13098812293944
82,155.0912928535357
83,164.51261725734872
84,177.221954362567
85,148.29546269184792
86,154.76509442311226
87,148.65403786952467
88,159.0415453243928
89,164.9386013364825
90,133.21412970200936
91,162.2167807810647
92,168.84470090162998
93,171.43444007187964
94,187.68297148047895
95,169.45941772833217
96,158.25504084827185
97,145.69007157262058
98,153.49108246908816
99,136.7508806101688
100,147.46560728318184
