episode,path_length
1,111.29798008691033
2,130.98813829209567
3,141.76386951790232
4,131.7045853449684
5,136.99524871205415
6,112.76610095477122
7,108.41930329780004
8,152.4398184439006
9,126.90996245051625
10,148.35383069927045
11,129.56021762957766
12,135.02417806259652
13,133.48347838335505
14,119.05138743199822
15,113.89452806106011
16,114.8063079137901
17,112.15432525712276
18,130.69453337007192
19,132.72712254387312
20,140.86143139782573
21,117.41706943692029
22,127.19868935445481
23,113.60285904631964
24,124.85554687275659
25,120.84427922717943
26,114.14894553250255
27,147.12173938992356
28,116.89626286889498
29,111.13301025113425
30,115.32001519568463
31,124.41413420774218
32,138.18053112556663
33,125.9602191077939
34,127.20235537420955
35,129.79524656731823
36,124.40702891080585
37,152.61778523645825
38,116.73007095480608
39,120.4442833460319
40,118.70458567925047
41,110.35017410081947
42,97.84772733784064
43,111.92173585728837
44,114.87320768403264
45,118.56194449049113
46,128.95849881590487
47,144.47098490555277
48,132.5124050442649
49,118.29453004673141
50,133.8195142134012
51,144.20062254038695
52,114.41118665871609
53,122.89281069156337
54,142.82661416443992
55,134.3827590501082
56,125.76438203385408
57,132.13545076496573
58,130.37270618789412
59,111.78031687611585
60,111.57615138176129
61,124.91189813199628
62,133.10285172512727
63,117.32884701132588
64,113.21929916171317
65,115.49503705787343
66,137.38225082206498
67,123.54671659533004
68,116.98275400456485
69,110.00874156510824
70,121.78032187911052
71,117.06265172586426
72,138.3300605481795
73,134.0342298904366
74,130.76976411136962
75,128.33473747013116
76,137.8734199219005
77,96.97422321187899
78,113.42296393358899
79,119.10458155029681
80,133.72560170044073
81,141.2994139022444
82,122.68031944071119
83,116.12295791233916
84,122.08154065066897
85,123.57787927876383
86,125.44844363407051
87,127.33839621095106
88,130.57514250642288
89,110.29625857488955
90,129.4229581904354
91,120.46194361541791
92,124.9207319394614
93,121.38814065202877
94,139.958701525392
95,108.64478482124716
96,142.19107949798394
97,121.49036661060667
98,115.49037277721565
99,145.34966025575656
100,129.82417511092729
