episode,path_length
1,101.19626329901428
2,105.16417011005512
3,117.21047374736165
4,114.16316292944137
5,119.62296252859154
6,105.08965506430472
7,108.13767924866322
8,114.62052553532982
9,112.38031477066552
10,114.87493543001615
11,109.04772818911076
12,117.84844938257339
13,108.83594886095435
14,107.67077516135406
15,108.04894899933647
16,104.42518651921412
17,119.93544951529677
18,114.50874213594521
19,114.53818511177516
20,122.4962522646093
21,113.96732308479203
22,112.84062961086063
23,98.56833520475398
24,113.21808378021902
25,101.033519224602
26,110.10336586687495
27,128.1543249121321
28,99.11513720985641
29,114.94945517126816
30,107.78203854159236
31,108.70803846873734
32,119.2229575466415
33,126.90874428246477
34,118.12052569419188
35,114.86905197607145
36,107.19919921243539
37,109.55189303537817
38,115.01118546257054
39,120.78864840947563
40,106.543056631292
41,103.23229272623374
42,107.4050878682732
43,117.35484041786256
44,107.70752385836042
45,114.38448688760221
46,123.2087491048816
47,124.2075242716209
48,118.66193762344912
49,107.15655618135719
50,103.14184415445389
51,120.31118292378095
52,103.30630440910517
53,103.47788314501304
54,109.2347350990556
55,106.16904983585398
56,115.83594995056526
57,98.13401984332145
58,101.8648880316573
59,129.76438330196433
60,108.41513393677705
61,114.62813633149082
62,123.34549060932254
63,115.3862064262076
64,112.04478532917591
65,122.7986880590354
66,120.32346855808836
67,108.45483265547578
68,117.04772753024811
69,121.07493758307018
70,122.58986330376476
71,116.68031534053338
72,105.76905052489565
73,106.27493877540971
74,103.60630905297246
75,116.1246864076771
76,104.32346951459316
77,111.65361427499732
78,112.3849879320005
79,135.8182867271875
80,109.47198990710501
81,112.94478741142927
82,110.6418429406402
83,109.07788175334687
84,112.85189293224491
85,107.7264133622501
86,107.06194464162563
87,105.95899928654877
88,110.46610735392971
89,107.75828942423048
90,114.19625684239827
91,107.31879486257948
92,112.92295888022834
93,129.86438051597068
94,126.6992013462062
95,113.73717354523542
96,112.23006562910648
97,113.94062143175708
98,111.12346451998177
99,101.56488414852011
100,117.6460059807204
