distance,mean_area_explored,std_area_explored
0.0,0.06332325,0.012175411314920741
2.9828427288370833,0.10286300000000001,0.015417155817465167
9.61126956748741,0.14082550000000002,0.01770310600572679
18.722539908078595,0.17761924999999998,0.021593674089591612
24.91665247513135,0.21431525,0.023051968162989902
29.20660222696756,0.2487385,0.025339896512219618
32.2308664700543,0.28530600000000006,0.02590137113166019
39.866400870687016,0.3202525,0.026011608826637386
43.004878962246735,0.35553299999999993,0.02714313216082477
48.174727117639925,0.38898749999999993,0.02759306468571405
51.31320588355726,0.42291075,0.02770254890235734
54.475947741393085,0.45481299999999997,0.028477489460976016
60.93158214367832,0.4884057499999999,0.027742672423317474
70.69848659706729,0.52006875,0.02747602144939292
77.49554202999309,0.55036325,0.028803631597204882
90.34650857922969,0.5824257500000001,0.02925833630245404
106.3087460855574,0.6145732500000001,0.028150491615378585
109.50580343937087,0.6462439999999999,0.030583267304197564
113.54133801967409,0.67399825,0.03170995392912926
128.4153493062236,0.70194225,0.03223950210824447
139.52367540673367,0.7289047499999998,0.0321925217820459
153.98936235277216,0.7562122499999999,0.032396443958982585
175.8013471435292,0.7830267500000001,0.03153361980787331
187.7410440043507,0.8092212499999999,0.030139357030094387
201.70916892151428,0.8355409999999999,0.0314112072993064
219.84470516817743,0.86028725,0.028841778398488192
238.00988535046864,0.8834832499999998,0.026770552164411928
241.80988506436634,0.9066199999999998,0.02746126567549282
254.33953186899478,0.9257367500000001,0.025506901383498152
270.279230569822,0.9433095,0.02336292115190221
278.411820602688,0.959608,0.02272543093100766
284.05029757199134,0.973368,0.018539659880914747
287.2473523970024,0.9841715000000001,0.014927104131411418
311.52207875693387,0.99281475,0.009642880855195712
334.1553838112497,0.9971542499999999,0.006293677437516161
339.01812379246826,0.9991905,0.0024993993778506056
355.9016805422908,0.999847,0.0011358492417570215
379.2107184738825,0.99993975,0.0005994799308567331
