distance,mean_area_explored,std_area_explored
0.0,0.06101300000000001,0.013356468694980722
2.887005544059051,0.10079349999999998,0.014630167728020073
6.118376033643122,0.13866425,0.017156107605966454
9.181116975298302,0.17790925,0.018249860497754497
12.30243698170044,0.21418600000000002,0.019240983381833682
15.30243698170044,0.24878450000000002,0.01980128997691817
18.475228941241237,0.28263574999999996,0.021009462824820153
21.62375685520691,0.31482200000000005,0.021197439196752047
24.523756712155762,0.344994,0.021319054305948937
27.46517806641159,0.3764342499999999,0.022679035102655933
30.469341635199967,0.40666525,0.023407417599716124
33.576448988593214,0.4354912500000001,0.023288674386651977
37.47350566511833,0.4648204999999999,0.023307458940219114
43.104876777526044,0.49192225000000006,0.02432253633335759
46.146298297763884,0.51759675,0.022711368203776273
49.27766933310892,0.54319275,0.020671907959535326
51.609040430600864,0.56986075,0.018212971083475093
54.82325370687408,0.59423325,0.019928690077059757
63.6357431794633,0.62236925,0.02349933106893683
67.48427118202528,0.65289875,0.026675845435290328
70.69848398147822,0.6840415,0.030336563998745805
76.74406501246523,0.7166522499999999,0.03323522793945454
85.95533212687303,0.7482622499999999,0.034549626353804465
100.01756959570307,0.779393,0.034264767998630895
103.13178344418489,0.808774,0.03246117294553603
106.11878892181149,0.839281,0.03096729022694753
108.17442404273359,0.8659562499999999,0.031063211636717478
111.34721566510402,0.8919330000000001,0.02909614576709431
113.5543222777081,0.9156350000000001,0.026885367070211247
116.45432189623837,0.9347797499999999,0.022365468834511383
119.62711410865903,0.9526334999999999,0.019219575053835092
123.09280079582467,0.9696875,0.016802481401566854
131.5697557766933,0.98245825,0.013394763928024262
134.63544113900488,0.99041725,0.009750004932691063
137.63544113900488,0.99642725,0.00586124143740044
139.49107571846986,0.9989397499999998,0.0030555279719714557
143.52660827576454,0.9998055000000001,0.0010109561068612203
